Kod Geran,Tajuk Penyelidikan,Ketua Penyelidik,Grant Type,Peruntukan (RM),Bulan Tamat,Tahun Tamat,Quartile,Milestone (%),New Verdict,PR Jun 2026
"25","COE/RG 3.1: Pengukuran dan Pemetaan Berteknologi Tinggi Berasaskan Satelit untuk Pembangunan Koridor Pan-Borneo Sarawak","Y/N","JTNCPI",50000,"12","2026","8.75",5,"PW - Progressing Well","NOT COMPLETED"
"26","COE/RG 3.3: Penilaian Kemapanan Mobiliti dan Aksesibiliti Wilayah Menggunakan Pemodelan Perancangan Pengangkutan Makro","Y/N","JTNCPI",50000,"12","2026","8.75",2,"PW - Progressing Well","DRAFT"
"27","COE/RG 4.2: Heat Stress Risk Assessment for Enhanced Occupational Safety and Health Practices","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","VERIFIED (RA/FACULTY/HI-COE/INSTTITUTE)"
"28","COE/RG 2.3: AUV docking on SODS in underwater complex environments: A comprehensive design and hydrodynamic analysis","Y/N","JTNCPI",50000,"05","2026","8.75",6,"FALSE","PENDING"
"29","COE/RG 1.1: Short Term Properties of 3D-Printed Construction Materials: Mechanical Properties under Static Load","Y/N","JTNCPI",50000,"12","2026","8.75",5,"BS - Behind Schedule","DRAFT"
"30","COE/RG 2.2: SCALABLE GAS-PHASE GRAPHENE SYNTHESIS VIA VERY LOW RADIO FREQUENCY-INDUCED PLASMA","Y/N","JTNCPI",50000,"12","2026","8.75",4,"PW - Progressing Well","VERIFIED (RA/FACULTY/HI-COE/INSTTITUTE)"
"31","COE/RG 1.1: HYDROLOGICAL AND WATER QUALITY GIS-WEB BASED PLATFORM FOR REAL-TIME AND CLIMATE RISK MONITORING OF TEBRAU RIVER","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","NOT COMPLETED"
"32","COE/RG 2.4: Design and motion analysis of SODS for MATU docking and attachment under complex hydrodynamic interactions (including drone integration)","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","NOT COMPLETED"
"33","COE/RG 1.0 : BUILDING CLIMATE RESILIENT WATER SYSTEMS IN TEBRAU RIVER THROUGH EVIDENCE-BASED POLICY INSIGHTS","Y/N","JTNCPI",50000,"05","2026","8.75",18,"FALSE","COMPLETED"
"34","COE/RG 5.4: Web Portal Development for the Most Seismically Active Zone in Peninsular Malaysia","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","NOT COMPLETED"
"35","COE/RG 2.3: HIGH-ENERGY ULTRACAPACITOR WITH PLASMA-MEDIATED GRAPHENE AEROGEL ELECTRODES","Y/N","JTNCPI",50000,"12","2026","8.75",4,"PW - Progressing Well","DRAFT"
"36","COE/RG 1.3: Mechanical properties and durability of hardened concrete made from 3D printing technology","Y/N","JTNCPI",50000,"12","2026","8.75",4,"PW - Progressing Well","COMPLETED"
